OrderId,CustomerId,Date,Total
1,2,2009/1/1 00:00,1.98
2,4,2009/1/2 00:00,3.96
3,8,2009/1/3 00:00,5.94
4,14,2009/1/6 00:00,8.91
5,23,2009/1/11 00:00,13.86
6,37,2009/1/19 00:00,0.99
7,38,2009/2/1 00:00,1.98
8,40,2009/2/1 00:00,1.98
9,42,2009/2/2 00:00,3.96
10,46,2009/2/3 00:00,5.94
11,52,2009/2/6 00:00,8.91
12,2,2009/2/11 00:00,13.86
13,16,2009/2/19 00:00,0.99
14,17,2009/3/4 00:00,1.98
15,19,2009/3/4 00:00,1.98
16,21,2009/3/5 00:00,3.96
17,25,2009/3/6 00:00,5.94
18,31,2009/3/9 00:00,8.91
19,40,2009/3/14 00:00,13.86
20,54,2009/3/22 00:00,0.99
21,55,2009/4/4 00:00,1.98
22,57,2009/4/4 00:00,1.98
23,59,2009/4/5 00:00,3.96
24,4,2009/4/6 00:00,5.94
25,10,2009/4/9 00:00,8.91
26,19,2009/4/14 00:00,13.86
27,33,2009/4/22 00:00,0.99
28,34,2009/5/5 00:00,1.98
29,36,2009/5/5 00:00,1.98
30,38,2009/5/6 00:00,3.96
31,42,2009/5/7 00:00,5.94
32,48,2009/5/10 00:00,8.91
33,57,2009/5/15 00:00,13.86
34,12,2009/5/23 00:00,0.99
35,13,2009/6/5 00:00,1.98
36,15,2009/6/5 00:00,1.98
37,17,2009/6/6 00:00,3.96
38,21,2009/6/7 00:00,5.94
39,27,2009/6/10 00:00,8.91
40,36,2009/6/15 00:00,13.86
41,50,2009/6/23 00:00,0.99
42,51,2009/7/6 00:00,1.98
43,53,2009/7/6 00:00,1.98
44,55,2009/7/7 00:00,3.96
45,59,2009/7/8 00:00,5.94
46,6,2009/7/11 00:00,8.91
47,15,2009/7/16 00:00,13.86
48,29,2009/7/24 00:00,0.99
49,30,2009/8/6 00:00,1.98
50,32,2009/8/6 00:00,1.98
51,34,2009/8/7 00:00,3.96
52,38,2009/8/8 00:00,5.94
53,44,2009/8/11 00:00,8.91
54,53,2009/8/16 00:00,13.86
55,8,2009/8/24 00:00,0.99
56,9,2009/9/6 00:00,1.98
57,11,2009/9/6 00:00,1.98
58,13,2009/9/7 00:00,3.96
59,17,2009/9/8 00:00,5.94
60,23,2009/9/11 00:00,8.91
61,32,2009/9/16 00:00,13.86
62,46,2009/9/24 00:00,0.99
63,47,2009/10/7 00:00,1.98
64,49,2009/10/7 00:00,1.98
65,51,2009/10/8 00:00,3.96
66,55,2009/10/9 00:00,5.94
67,2,2009/10/12 00:00,8.91
68,11,2009/10/17 00:00,13.86
69,25,2009/10/25 00:00,0.99
70,26,2009/11/7 00:00,1.98
71,28,2009/11/7 00:00,1.98
72,30,2009/11/8 00:00,3.96
73,34,2009/11/9 00:00,5.94
74,40,2009/11/12 00:00,8.91
75,49,2009/11/17 00:00,13.86
76,4,2009/11/25 00:00,0.99
77,5,2009/12/8 00:00,1.98
78,7,2009/12/8 00:00,1.98
79,9,2009/12/9 00:00,3.96
80,13,2009/12/10 00:00,5.94
81,19,2009/12/13 00:00,8.91
82,28,2009/12/18 00:00,13.86
83,42,2009/12/26 00:00,0.99
84,43,2010/1/8 00:00,1.98
85,45,2010/1/8 00:00,1.98
86,47,2010/1/9 00:00,3.96
87,51,2010/1/10 00:00,6.94
88,57,2010/1/13 00:00,17.91
89,7,2010/1/18 00:00,18.86
90,21,2010/1/26 00:00,0.99
91,22,2010/2/8 00:00,1.98
92,24,2010/2/8 00:00,1.98
93,26,2010/2/9 00:00,3.96
94,30,2010/2/10 00:00,5.94
95,36,2010/2/13 00:00,8.91
96,45,2010/2/18 00:00,21.86
97,59,2010/2/26 00:00,1.99
98,1,2010/3/11 00:00,3.98
99,3,2010/3/11 00:00,3.98
100,5,2010/3/12 00:00,3.96
101,9,2010/3/13 00:00,5.94
102,15,2010/3/16 00:00,9.91
103,24,2010/3/21 00:00,15.86
104,38,2010/3/29 00:00,0.99
105,39,2010/4/11 00:00,1.98
106,41,2010/4/11 00:00,1.98
107,43,2010/4/12 00:00,3.96
108,47,2010/4/13 00:00,5.94
109,53,2010/4/16 00:00,8.91
110,3,2010/4/21 00:00,13.86
111,17,2010/4/29 00:00,0.99
112,18,2010/5/12 00:00,1.98
113,20,2010/5/12 00:00,1.98
114,22,2010/5/13 00:00,3.96
115,26,2010/5/14 00:00,5.94
116,32,2010/5/17 00:00,8.91
117,41,2010/5/22 00:00,13.86
118,55,2010/5/30 00:00,0.99
119,56,2010/6/12 00:00,1.98
120,58,2010/6/12 00:00,1.98
121,1,2010/6/13 00:00,3.96
122,5,2010/6/14 00:00,5.94
123,11,2010/6/17 00:00,8.91
124,20,2010/6/22 00:00,13.86
125,34,2010/6/30 00:00,0.99
126,35,2010/7/13 00:00,1.98
127,37,2010/7/13 00:00,1.98
128,39,2010/7/14 00:00,3.96
129,43,2010/7/15 00:00,5.94
130,49,2010/7/18 00:00,8.91
131,58,2010/7/23 00:00,13.86
132,13,2010/7/31 00:00,0.99
133,14,2010/8/13 00:00,1.98
134,16,2010/8/13 00:00,1.98
135,18,2010/8/14 00:00,3.96
136,22,2010/8/15 00:00,5.94
137,28,2010/8/18 00:00,8.91
138,37,2010/8/23 00:00,13.86
139,51,2010/8/31 00:00,0.99
140,52,2010/9/13 00:00,1.98
141,54,2010/9/13 00:00,1.98
142,56,2010/9/14 00:00,3.96
143,1,2010/9/15 00:00,5.94
144,7,2010/9/18 00:00,8.91
145,16,2010/9/23 00:00,13.86
146,30,2010/10/1 00:00,0.99
147,31,2010/10/14 00:00,1.98
148,33,2010/10/14 00:00,1.98
149,35,2010/10/15 00:00,3.96
150,39,2010/10/16 00:00,5.94
151,45,2010/10/19 00:00,8.91
152,54,2010/10/24 00:00,13.86
153,9,2010/11/1 00:00,0.99
154,10,2010/11/14 00:00,1.98
155,12,2010/11/14 00:00,1.98
156,14,2010/11/15 00:00,3.96
157,18,2010/11/16 00:00,5.94
158,24,2010/11/19 00:00,8.91
159,33,2010/11/24 00:00,13.86
160,47,2010/12/2 00:00,0.99
161,48,2010/12/15 00:00,1.98
162,50,2010/12/15 00:00,1.98
163,52,2010/12/16 00:00,3.96
164,56,2010/12/17 00:00,5.94
165,3,2010/12/20 00:00,8.91
166,12,2010/12/25 00:00,13.86
167,26,2011/1/2 00:00,0.99
168,27,2011/1/15 00:00,1.98
169,29,2011/1/15 00:00,1.98
170,31,2011/1/16 00:00,3.96
171,35,2011/1/17 00:00,5.94
172,41,2011/1/20 00:00,8.91
173,50,2011/1/25 00:00,13.86
174,5,2011/2/2 00:00,0.99
175,6,2011/2/15 00:00,1.98
176,8,2011/2/15 00:00,1.98
177,10,2011/2/16 00:00,3.96
178,14,2011/2/17 00:00,5.94
179,20,2011/2/20 00:00,8.91
180,29,2011/2/25 00:00,13.86
181,43,2011/3/5 00:00,0.99
182,44,2011/3/18 00:00,1.98
183,46,2011/3/18 00:00,1.98
184,48,2011/3/19 00:00,3.96
185,52,2011/3/20 00:00,5.94
186,58,2011/3/23 00:00,8.91
187,8,2011/3/28 00:00,13.86
188,22,2011/4/5 00:00,0.99
189,23,2011/4/18 00:00,1.98
190,25,2011/4/18 00:00,1.98
191,27,2011/4/19 00:00,3.96
192,31,2011/4/20 00:00,5.94
193,37,2011/4/23 00:00,14.91
194,46,2011/4/28 00:00,21.86
195,1,2011/5/6 00:00,0.99
196,2,2011/5/19 00:00,1.98
197,4,2011/5/19 00:00,1.98
198,6,2011/5/20 00:00,3.96
199,10,2011/5/21 00:00,5.94
200,16,2011/5/24 00:00,8.91
201,25,2011/5/29 00:00,18.86
202,39,2011/6/6 00:00,1.99
203,40,2011/6/19 00:00,2.98
204,42,2011/6/19 00:00,3.98
205,44,2011/6/20 00:00,7.96
206,48,2011/6/21 00:00,8.94
207,54,2011/6/24 00:00,8.91
208,4,2011/6/29 00:00,15.86
209,18,2011/7/7 00:00,0.99
210,19,2011/7/20 00:00,1.98
211,21,2011/7/20 00:00,1.98
212,23,2011/7/21 00:00,3.96
213,27,2011/7/22 00:00,5.94
214,33,2011/7/25 00:00,8.91
215,42,2011/7/30 00:00,13.86
216,56,2011/8/7 00:00,0.99
217,57,2011/8/20 00:00,1.98
218,59,2011/8/20 00:00,1.98
219,2,2011/8/21 00:00,3.96
220,6,2011/8/22 00:00,5.94
221,12,2011/8/25 00:00,8.91
222,21,2011/8/30 00:00,13.86
223,35,2011/9/7 00:00,0.99
224,36,2011/9/20 00:00,1.98
225,38,2011/9/20 00:00,1.98
226,40,2011/9/21 00:00,3.96
227,44,2011/9/22 00:00,5.94
228,50,2011/9/25 00:00,8.91
229,59,2011/9/30 00:00,13.86
230,14,2011/10/8 00:00,0.99
231,15,2011/10/21 00:00,1.98
232,17,2011/10/21 00:00,1.98
233,19,2011/10/22 00:00,3.96
234,23,2011/10/23 00:00,5.94
235,29,2011/10/26 00:00,8.91
236,38,2011/10/31 00:00,13.86
237,52,2011/11/8 00:00,0.99
238,53,2011/11/21 00:00,1.98
239,55,2011/11/21 00:00,1.98
240,57,2011/11/22 00:00,3.96
241,2,2011/11/23 00:00,5.94
242,8,2011/11/26 00:00,8.91
243,17,2011/12/1 00:00,13.86
244,31,2011/12/9 00:00,0.99
245,32,2011/12/22 00:00,1.98
246,34,2011/12/22 00:00,1.98
247,36,2011/12/23 00:00,3.96
248,40,2011/12/24 00:00,5.94
249,46,2011/12/27 00:00,8.91
250,55,2012/1/1 00:00,13.86
251,10,2012/1/9 00:00,0.99
252,11,2012/1/22 00:00,1.98
253,13,2012/1/22 00:00,1.98
254,15,2012/1/23 00:00,3.96
255,19,2012/1/24 00:00,5.94
256,25,2012/1/27 00:00,8.91
257,34,2012/2/1 00:00,13.86
258,48,2012/2/9 00:00,0.99
259,49,2012/2/22 00:00,1.98
260,51,2012/2/22 00:00,1.98
261,53,2012/2/23 00:00,3.96
262,57,2012/2/24 00:00,5.94
263,4,2012/2/27 00:00,8.91
264,13,2012/3/3 00:00,13.86
265,27,2012/3/11 00:00,0.99
266,28,2012/3/24 00:00,1.98
267,30,2012/3/24 00:00,1.98
268,32,2012/3/25 00:00,3.96
269,36,2012/3/26 00:00,5.94
270,42,2012/3/29 00:00,8.91
